IP,Port
62.213.0.166,80
85.26.146.169,80
93.90.220.11,80
93.91.112.185,80
94.181.34.64,80
93.90.220.11,880
77.37.134.139,3128
78.29.44.45,3128
82.193.134.134,3128
91.205.238.14,3128
185.23.64.100,3130
212.22.86.114,3130
109.232.107.150,8080
178.213.145.24,8080
185.101.238.5,8080
185.52.76.253,8080
188.166.252.214,8080
188.235.7.72,8080
194.190.86.119,8080
195.211.247.84,8080
212.192.120.42,8080
212.220.13.229,8080
213.178.59.42,8080
46.101.74.237,8080
46.16.226.10,8080
5.143.246.27,8080
79.120.74.248,8080
81.161.23.203,8080
82.114.125.22,8080
85.172.60.112,8080
92.50.146.210,8080
94.141.238.84,8080
94.190.87.238,8080
94.230.243.6,8080
178.162.102.173,8081
185.148.220.11,8081
188.255.12.241,8081
188.32.151.186,8081
188.32.183.42,8081
188.32.246.247,8081
193.24.196.152,8081
217.107.197.174,8081
46.254.218.101,8081
46.39.238.113,8081
46.44.46.241,8081
46.44.52.61,8081
46.44.55.141,8081
62.140.234.80,8081
77.73.95.51,8081
82.149.207.86,8081
83.166.96.47,8081
83.69.110.218,8081
85.93.143.51,8081
87.103.173.22,8081
87.228.60.242,8081
88.82.86.54,8081
93.189.83.85,8081
178.62.123.38,8118
62.122.210.82,8118
188.43.15.105,9090
141.101.254.121,53281
178.211.184.196,53281
178.216.34.165,53281
185.17.132.113,53281
188.226.88.85,53281
193.19.135.235,53281
62.152.48.126,53281
62.182.207.26,53281
78.140.6.68,53281
85.113.140.224,53281
89.249.245.223,53281
91.193.238.77,53281
91.234.60.202,53281
31.131.71.177,65301
37.29.82.115,65301
